err_mag_from_ASAS,sigclipped_mag_bestap,time_BJDTDB
0.029,9.272,2452942.773205223
0.033,9.266,2452944.624225224
0.028,9.273,2452947.656705237
0.029,9.273,2452949.681525258
0.029,9.272,2452951.695585288
0.043,9.273,2452953.714675329
0.026,9.271,2452957.733565435
0.029,9.291,2452961.789635552
0.03,9.281,2452963.739455598
0.032,9.268,2452965.771205633
0.049,9.249,2452967.756915654
0.027,9.273,2452970.52640567
0.028,9.275,2452972.572695681
0.026,9.278,2452974.590695697
0.046,9.271,2452977.770665732
0.031,9.297,2452979.701905758
0.035,9.276,2452981.719975787
0.037,9.244,2452984.555105832
0.027,9.279,2452986.563685865
0.03,9.263,2452988.675035898
0.03,9.26,2452991.553655935
0.026,9.279,2452993.589385951
0.043,9.294,2452995.639535962
0.025,9.272,2452997.663115972
0.026,9.269,2453000.658885998
0.03,9.278,2453006.6661861
0.032,9.273,2453008.675366136
0.031,9.295,2453011.594906182
0.034,9.291,2453013.604626208
0.038,9.264000000000001,2453016.614036232
0.031,9.267000000000001,2453018.613166239
0.031,9.280000000000001,2453029.539406293
0.032,9.274000000000001,2453031.590426342
0.031,9.277000000000001,2453033.594736399
0.038,9.282,2453043.584266622
0.031,9.284,2453046.56749663
0.029,9.278,2453052.545936602
0.039,9.270000000000001,2453066.509206962
0.039,9.268,2453077.494747088
0.03,9.287,2453163.927188083
0.029,9.291,2453185.897708182
0.031,9.268,2453193.940868209
0.029,9.280000000000001,2453295.638989173
0.027,9.278,2453298.661579127
0.031,9.267000000000001,2453326.605899189
0.034,9.283000000000001,2453356.608879112
0.03,9.288,2453394.572099152
0.035,9.268,2453396.595839156
0.031,9.279,2453403.546929095
0.037,9.271,2453405.558199065
0.036,9.259,2453409.580639025
0.036,9.283000000000001,2453412.55279904
0.039,9.257,2453414.555579074
0.034,9.281,2453417.524969143
0.033,9.274000000000001,2453419.553709191
0.037,9.278,2453426.518749271
0.033,9.281,2453433.505929177
0.038,9.277000000000001,2453437.499109116
0.036,9.267000000000001,2453512.929669149
0.039,9.279,2453522.914309008
0.033,9.248000000000001,2453526.906108977
0.04,9.264000000000001,2453541.910998849
0.042,9.255,2453547.922588778
0.048,9.280000000000001,2453552.908058768
0.041,9.244,2453563.89138868
0.03,9.278,2453569.934268575
0.03,9.255,2453572.902838534
0.031,9.279,2453575.869398524
0.032,9.277000000000001,2453578.868358547
0.036,9.278,2453582.894688594
0.033,9.26,2453585.83636861
0.03,9.290000000000001,2453597.835978437
0.036,9.276,2453601.75090838
0.036,9.295,2453603.85258838
0.041,9.268,2453617.790928547
0.032,9.279,2453625.812888391
0.031,9.281,2453628.802698325
0.035,9.278,2453630.761298303
0.039,9.281,2453632.7796783
0.027,9.282,2453638.748198383
